day,month,ShaheenBagh,DTC_bus_terminal,Nangli_Dairy,Jharoda_Kalan,Sanjay_Colony_2,Tekhand2
1,10,630,76,0,1808,2854,935
2,10,835,1459,0,674,2915,1252
3,10,833,2825,772,2372,2873,1206
4,10,837,2824,2464,2848,2749,829
5,10,660,2835,1774,875,2801,1012
6,10,840,2830,2470,0,2867,1409
7,10,1179,2823,1204,0,1161,1248
8,10,2353,2829,1395,0,0,1231
9,10,787,2189,1485,0,0,1365
10,10,0,1331,1767,1844,0,923
11,10,0,2820,2841,2819,925,673
12,10,0,2826,2768,1435,2447,967
13,10,0,2483,2530,2695,2638,717
14,10,0,0,1706,2805,2826,535
15,10,0,0,2535,2830,204,951
16,10,0,0,2359,2622,1492,1322
17,10,0,0,659,2791,3054,1190
18,10,0,0,0,2702,2845,875
19,10,797,0,1371,2826,2878,1251
20,10,1314,0,1076,2833,2866,434
21,10,10,0,1748,2729,1942,1123
22,10,969,0,2211,2828,2414,661
23,10,2825,657,168,2657,1311,841
24,10,1765,1818,697,1870,1914,1357
25,10,250,2307,1001,599,1640,1279
26,10,969,1714,2754,1688,2058,1267
27,10,0,2677,2832,2725,1704,1455
28,10,443,2065,2813,2422,2846,287
29,10,902,2049,2863,1027,2856,1264
30,10,0,2127,2435,736,2661,618
31,10,0,2161,1232,923,2936,1039
1,11,0,2446,2046,1911,2934,0
2,11,0,2840,2342,1738,1819,1192
3,11,0,2315,2114,1143,1310,1606
4,11,0,1432,915,1807,2285,1187