S.No,From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (degree),AT (degree C)
1,28-Mar-2021 - 00:00,28-Mar-2021 - 01:00,140.75,142.7,85.7,161.9,33.9,22.65,1.35,5.9,5.3,329.48,,66.33,0.33,166.62,9.12,984.02,,20.57
2,28-Mar-2021 - 01:00,28-Mar-2021 - 02:00,143.0,92.4,90.75,123.7,41.6,21.7,1.05,,5.55,212.8,,69.3,0.3,213.8,2.2,983.7,,19.55
3,28-Mar-2021 - 02:00,28-Mar-2021 - 03:00,,,,,,,,,,,,,,,,,,
4,28-Mar-2021 - 03:00,28-Mar-2021 - 04:00,,,,,,,,,,,,,,,,,,
5,28-Mar-2021 - 04:00,28-Mar-2021 - 05:00,,,,,,,,,,,,,,,,,,
6,28-Mar-2021 - 05:00,28-Mar-2021 - 06:00,,,,,,,,,,,,,,,,,,
7,28-Mar-2021 - 06:00,28-Mar-2021 - 07:00,,,,,,,,,,,,,,,,,,
8,28-Mar-2021 - 07:00,28-Mar-2021 - 08:00,,,,,,,,,,,,,,,,,,
9,28-Mar-2021 - 08:00,28-Mar-2021 - 09:00,,,,,,,,,,,,,,,,,,
10,28-Mar-2021 - 09:00,28-Mar-2021 - 10:00,,,,,,,,,,,,,,,,,,
11,28-Mar-2021 - 10:00,28-Mar-2021 - 11:00,,,,,,,,,,,,,,,,,,
12,28-Mar-2021 - 11:00,28-Mar-2021 - 12:00,,,,,,,,,,,,,,,,,,
13,28-Mar-2021 - 12:00,28-Mar-2021 - 13:00,,,,,,,,,,,,,,,,,,
14,28-Mar-2021 - 13:00,28-Mar-2021 - 14:00,143.0,,,,,,0.0,53.25,,,,30.6,0.4,125.6,725.4,982.25,,38.2
15,28-Mar-2021 - 14:00,28-Mar-2021 - 15:00,35.0,5.28,23.23,15.82,33.97,14.2,1.45,83.1,1.0,35.17,,29.8,1.02,202.25,630.33,981.33,,38.58
16,28-Mar-2021 - 15:00,28-Mar-2021 - 16:00,33.75,3.35,10.53,6.58,33.42,15.4,,87.57,0.75,62.25,,28.95,1.27,274.42,477.5,980.38,,38.62
17,28-Mar-2021 - 16:00,28-Mar-2021 - 17:00,30.75,0.15,13.35,6.77,34.0,15.17,,81.22,0.78,28.45,,30.3,1.35,284.25,291.43,979.9,,37.47
18,28-Mar-2021 - 17:00,28-Mar-2021 - 18:00,,,,,,,,,,,,,,,,,,
19,28-Mar-2021 - 18:00,28-Mar-2021 - 19:00,,,,,,,,,,,,,,,,,,
20,28-Mar-2021 - 19:00,28-Mar-2021 - 20:00,,,,,,,,,,,,,,,,,,
21,28-Mar-2021 - 20:00,28-Mar-2021 - 21:00,,,,,,,,,,,,,,,,,,
22,28-Mar-2021 - 21:00,28-Mar-2021 - 22:00,,,,,,,,,,,,,,,,,,
23,28-Mar-2021 - 22:00,28-Mar-2021 - 23:00,,,,,,,,,,,,,,,,,,
24,28-Mar-2021 - 23:00,29-Mar-2021 - 00:00,,,,,,,,,,,,,,,,,,
25,29-Mar-2021 - 00:00,29-Mar-2021 - 01:00,,,,,,,,,,,,,,,,,,
26,29-Mar-2021 - 01:00,29-Mar-2021 - 02:00,,,,,,,,,,,,,,,,,,
27,29-Mar-2021 - 02:00,29-Mar-2021 - 03:00,,,,,,,,,,,,,,,,,,
28,29-Mar-2021 - 03:00,29-Mar-2021 - 04:00,,,,,,,,,,,,,,,,,,
29,29-Mar-2021 - 04:00,29-Mar-2021 - 05:00,,,,,,,,,,,,,,,,,,