S.No,From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C)
1,28-Mar-2021 - 00:00,28-Mar-2021 - 01:00,99.5,164.68,84.68,179.23,22.62,21.15,7.47,2.02,4.2,55.25,,54.0,0.3,341.0,4.1,983.75,24.1
2,28-Mar-2021 - 01:00,28-Mar-2021 - 02:00,115.25,196.97,83.88,204.22,29.98,18.4,2.67,3.8,4.5,56.78,,57.35,0.3,341.0,4.1,983.3,23.5
3,28-Mar-2021 - 02:00,28-Mar-2021 - 03:00,112.5,178.9,72.8,184.6,,15.9,3.0,2.53,4.75,57.07,,60.22,0.3,341.0,4.1,982.9,23.12
4,28-Mar-2021 - 03:00,28-Mar-2021 - 04:00,111.75,213.05,66.55,208.18,,17.35,3.12,3.32,4.65,59.0,,61.48,0.3,338.38,4.1,982.83,22.88
5,28-Mar-2021 - 04:00,28-Mar-2021 - 05:00,107.0,151.4,63.02,157.05,,16.45,3.92,2.38,4.7,61.58,,58.17,0.3,332.3,4.12,983.22,23.25
6,28-Mar-2021 - 05:00,28-Mar-2021 - 06:00,84.5,121.03,56.75,128.78,,18.27,3.88,1.97,4.6,60.8,,57.53,0.3,326.73,4.15,983.78,22.85
7,28-Mar-2021 - 06:00,28-Mar-2021 - 07:00,81.0,110.88,54.7,119.45,,18.27,4.2,2.85,4.47,59.55,,62.3,0.3,324.27,10.53,984.15,21.95
8,28-Mar-2021 - 07:00,28-Mar-2021 - 08:00,92.0,197.4,68.7,196.85,,21.35,2.23,2.58,4.58,59.7,,56.88,0.3,310.53,38.85,984.55,23.67
9,28-Mar-2021 - 08:00,28-Mar-2021 - 09:00,115.25,95.2,82.08,121.25,30.8,25.9,1.7,7.3,4.6,57.4,,44.53,0.28,242.97,89.78,985.17,27.15
10,28-Mar-2021 - 09:00,28-Mar-2021 - 10:00,97.75,49.25,60.75,72.45,37.25,20.27,1.4,29.73,4.15,50.62,,32.55,0.32,201.5,94.22,985.5,30.65
11,28-Mar-2021 - 10:00,28-Mar-2021 - 11:00,50.0,27.15,52.65,50.15,33.98,18.4,1.4,53.85,3.5,44.4,,26.93,0.35,212.25,133.0,985.55,32.75
12,28-Mar-2021 - 11:00,28-Mar-2021 - 12:00,44.5,13.7,48.85,37.15,37.5,17.07,1.38,72.1,3.05,39.73,,22.45,0.35,204.38,166.38,984.85,34.6
13,28-Mar-2021 - 12:00,28-Mar-2021 - 13:00,44.5,4.78,39.3,24.88,38.8,14.9,2.5,83.77,2.67,34.92,,18.4,0.25,231.6,324.58,983.88,36.77
14,28-Mar-2021 - 13:00,28-Mar-2021 - 14:00,38.5,1.5,27.15,15.6,30.62,15.35,1.02,92.95,2.25,30.38,,13.52,0.2,312.8,495.55,982.65,38.12
15,28-Mar-2021 - 14:00,28-Mar-2021 - 15:00,34.25,1.5,21.77,12.78,25.23,14.1,1.25,107.03,1.8,26.52,,12.45,0.2,226.8,491.88,981.55,39.03
16,28-Mar-2021 - 15:00,28-Mar-2021 - 16:00,35.0,1.68,30.68,17.68,24.62,13.02,1.65,96.57,1.57,23.75,,12.47,0.23,302.88,283.95,980.75,38.8
17,28-Mar-2021 - 16:00,28-Mar-2021 - 17:00,37.25,0.9,32.5,18.05,25.2,14.72,1.62,88.62,1.33,21.68,,14.85,0.2,320.98,91.33,980.08,37.03
18,28-Mar-2021 - 17:00,28-Mar-2021 - 18:00,,,,,,,,,,,,,,,,,
19,28-Mar-2021 - 18:00,28-Mar-2021 - 19:00,,,,,,,,,,,,,,,,,
20,28-Mar-2021 - 19:00,28-Mar-2021 - 20:00,,,,,,,,,,,,,,,,,
21,28-Mar-2021 - 20:00,28-Mar-2021 - 21:00,,,,,,,,,,,,,,,,,
22,28-Mar-2021 - 21:00,28-Mar-2021 - 22:00,,,,,,,,,,,,,,,,,
23,28-Mar-2021 - 22:00,28-Mar-2021 - 23:00,,,,,,,,,,,,,,,,,
24,28-Mar-2021 - 23:00,29-Mar-2021 - 00:00,,,,,,,,,,,,,,,,,
25,29-Mar-2021 - 00:00,29-Mar-2021 - 01:00,,,,,,,,,,,,,,,,,
26,29-Mar-2021 - 01:00,29-Mar-2021 - 02:00,,,,,,,,,,,,,,,,,
27,29-Mar-2021 - 02:00,29-Mar-2021 - 03:00,,,,,,,,,,,,,,,,,
28,29-Mar-2021 - 03:00,29-Mar-2021 - 04:00,,,,,,,,,,,,,,,,,
29,29-Mar-2021 - 04:00,29-Mar-2021 - 05:00,,,,,,,,,,,,,,,,,